Total_Relationship_Count,Credit_Limit,Months_Inactive_12_mon,Contacts_Count_12_mon,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Trans_Amt,Total_Trans_Ct,Avg_Utilization_Ratio
3,5362.0,2,3,1901,3461.0,1553,38,0.355
3,34516.0,2,2,1023,33493.0,1064,13,0.03
4,3174.0,1,0,1951,1223.0,1243,29,0.615
3,12262.0,2,2,1836,10426.0,1659,38,0.15
4,3788.0,3,3,1540,2248.0,1594,47,0.407
2,34516.0,3,2,1527,32989.0,1268,42,0.044
4,2926.0,2,2,0,2926.0,1304,24,0.0
6,32090.0,1,0,0,32090.0,1368,30,0.0
3,11669.0,3,2,2227,9442.0,720,23,0.191
3,13532.0,1,2,1300,12232.0,1521,29,0.096
4,11888.0,2,2,2090,9798.0,1137,30,0.176
5,2393.0,1,2,1985,408.0,978,16,0.83
5,6111.0,1,2,2517,3594.0,1221,16,0.412
3,19270.0,2,3,1662,17608.0,1565,28,0.086
3,3710.0,1,4,2517,1193.0,1578,34,0.678
2,3235.0,1,3,797,2438.0,1493,32,0.246
3,11749.0,1,0,788,10961.0,1178,27,0.067
5,7753.0,3,2,2100,5653.0,991,26,0.271
5,10408.0,1,0,1186,9222.0,2560,42,0.114
6,3967.0,2,3,1568,2399.0,1657,29,0.395
4,6205.0,2,2,2517,3688.0,1204,19,0.406
1,8025.0,3,3,0,8025.0,673,18,0.0
6,9036.0,2,3,2327,6709.0,1131,18,0.258
2,14926.0,3,2,2517,12409.0,1576,25,0.169
3,6335.0,2,3,1128,5207.0,1217,20,0.178
2,14979.0,3,3,0,14979.0,530,10,0.0
3,2732.0,2,3,0,2732.0,739,16,0.0
6,2250.0,3,2,2117,133.0,1617,31,0.941
3,10916.0,2,0,1536,9380.0,1592,34,0.141
4,5349.0,1,3,1228,4121.0,1343,30,0.23
4,9366.0,1,3,1104,8262.0,1303,39,0.118
5,21617.0,1,0,0,21617.0,1351,22,0.0
5,13860.0,2,3,1652,12208.0,1910,32,0.119
2,18386.0,2,3,0,18386.0,1298,22,0.0
6,2405.0,2,2,1540,865.0,1087,29,0.64
4,2154.0,2,3,930,1224.0,1439,26,0.432
3,2038.0,3,3,0,2038.0,1238,28,0.0
6,8135.0,1,3,0,8135.0,1716,29,0.0
6,9364.0,1,3,618,8746.0,1099,27,0.066
4,32643.0,3,2,0,32643.0,1058,24,0.0
2,3195.0,3,1,1954,1241.0,1285,29,0.612
5,2852.0,2,1,1024,1828.0,1651,28,0.359
2,4224.0,3,3,1305,2919.0,1152,31,0.309
3,20459.0,2,2,2071,18388.0,1767,38,0.101
6,3482.0,5,3,2114,1368.0,1039,24,0.607
5,3065.0,2,3,1570,1495.0,1130,28,0.512
3,2185.0,1,2,1761,424.0,1645,30,0.806
4,1611.0,1,0,746,865.0,1413,29,0.463
3,2822.0,3,3,2173,649.0,1218,23,0.77
6,32975.0,3,3,2517,30458.0,597,17,0.076
5,1438.3,2,2,0,1438.3,2184,53,0.0
4,15875.0,3,3,1719,14156.0,1592,37,0.108
6,6703.0,3,3,893,5810.0,1388,28,0.133
2,3212.0,2,1,0,3212.0,757,20,0.0
3,34516.0,1,3,1260,33256.0,1504,34,0.037
4,9797.0,1,2,1434,8363.0,1503,34,0.146
5,10400.0,2,2,1777,8623.0,1105,28,0.171
2,26792.0,1,2,1836,24956.0,2398,47,0.069
4,3006.0,3,2,2517,489.0,1661,32,0.837
6,19482.0,3,0,1072,18410.0,1421,22,0.055
4,3356.0,2,3,985,2371.0,999,28,0.294
3,5771.0,2,1,2248,3523.0,1387,18,0.39
6,11106.0,2,3,2107,8999.0,1243,24,0.19
5,2890.0,3,0,2001,889.0,1860,36,0.692
6,3380.0,2,2,1701,1679.0,1502,25,0.503
2,21331.0,1,2,1251,20080.0,1460,50,0.059
6,12860.0,2,1,0,12860.0,1348,27,0.0
3,6278.0,1,0,462,5816.0,1087,33,0.074
5,1438.3,1,3,738,700.3,1226,33,0.513
5,9355.0,1,2,1626,7729.0,1230,28,0.174
6,20758.0,1,3,0,20758.0,1555,32,0.0
5,14612.0,3,1,1976,12636.0,1827,24,0.135
5,27259.0,2,0,0,27259.0,1376,35,0.0
4,6347.0,2,3,1594,4753.0,1771,37,0.251
3,21592.0,3,0,1676,19916.0,1873,52,0.078
5,3449.0,1,1,1598,1851.0,1679,42,0.463
2,6028.0,1,2,799,5229.0,1002,22,0.133
3,18214.0,2,3,1998,16216.0,1344,21,0.11
3,16393.0,3,1,1423,14970.0,1461,42,0.087
1,1438.3,3,2,900,538.3,760,21,0.626
4,7871.0,1,2,1687,6184.0,1428,22,0.214
5,5288.0,3,0,866,4422.0,1777,42,0.164
4,11376.0,5,3,2006,9370.0,1302,27,0.176
4,12302.0,5,3,1632,10670.0,1483,41,0.133
3,34516.0,2,1,1679,32837.0,1060,27,0.049
4,34516.0,2,2,1468,33048.0,1330,32,0.043
3,10514.0,2,2,1580,8934.0,1229,27,0.15
2,1438.3,4,3,0,1438.3,886,27,0.0
3,1438.3,3,3,0,1438.3,844,24,0.0
2,2619.0,1,2,1779,840.0,1450,37,0.679
2,24407.0,3,0,2395,22012.0,2311,48,0.098
4,2377.0,1,2,1649,728.0,1378,26,0.694
3,34516.0,2,3,1359,33157.0,1033,26,0.039
5,11086.0,3,3,2207,8879.0,1523,40,0.199
4,11432.0,2,2,2517,8915.0,1374,37,0.22
5,13258.0,3,2,1721,11537.0,1080,21,0.13
3,2571.0,2,3,1955,616.0,1234,24,0.76
5,5781.0,2,0,1168,4613.0,1600,32,0.202
5,7872.0,1,2,2509,5363.0,1155,32,0.319
6,34516.0,1,2,1202,33314.0,1353,33,0.035
4,11127.0,1,3,1835,9292.0,1546,25,0.165
2,1857.0,1,3,1603,254.0,1590,43,0.863
5,1913.0,1,0,1272,641.0,1448,22,0.665
5,3839.0,3,0,2295,1544.0,1271,24,0.598
6,2115.0,2,3,1141,974.0,1223,20,0.539
5,1438.3,2,2,679,759.3,1117,29,0.472
4,27756.0,3,0,1789,25967.0,994,24,0.064
4,1438.3,1,2,0,1438.3,1468,26,0.0
6,13878.0,4,2,2222,11656.0,1658,38,0.16
3,3106.0,1,3,1304,1802.0,1368,38,0.42
4,34516.0,3,3,1666,32850.0,1218,18,0.048
4,1438.3,4,3,1025,413.3,702,12,0.713
2,18871.0,3,0,1740,17131.0,1516,21,0.092
5,5207.0,2,2,1748,3459.0,1310,26,0.336
6,17965.0,2,2,1644,16321.0,1767,50,0.092
6,2733.0,3,3,1819,914.0,933,25,0.666
4,8863.0,3,2,1301,7562.0,1512,27,0.147
2,1857.0,3,3,1833,24.0,829,17,0.987
3,34516.0,3,3,0,34516.0,1120,27,0.0
5,11107.0,3,3,1222,9885.0,1506,33,0.11
4,21573.0,1,2,1585,19988.0,1384,36,0.073
2,2859.0,3,3,2517,342.0,817,30,0.88
4,5269.0,2,2,1475,3794.0,2094,25,0.28
2,1438.3,2,3,0,1438.3,815,21,0.0
1,3387.0,3,2,0,3387.0,510,24,0.0
6,1982.0,2,3,1289,693.0,1377,49,0.65
2,4645.0,2,2,1650,2995.0,1193,33,0.355
6,2189.0,3,2,1666,523.0,1287,36,0.761
3,2442.0,3,3,0,2442.0,701,19,0.0
4,21304.0,1,2,1532,19772.0,1770,25,0.072
5,7577.0,1,2,2480,5097.0,1409,35,0.327
4,3234.0,1,2,1486,1748.0,1354,28,0.459
5,4469.0,3,2,1125,3344.0,1765,34,0.252
6,2910.0,3,4,709,2201.0,1192,27,0.244
2,3616.0,4,3,1054,2562.0,687,17,0.291
3,3252.0,2,3,1495,1757.0,1227,15,0.46
4,2358.0,3,3,1152,1206.0,1737,26,0.489
4,22322.0,1,0,953,21369.0,1348,34,0.043
4,3133.0,2,2,1510,1623.0,1435,38,0.482
2,3540.0,3,0,849,2691.0,1321,28,0.24
6,6990.0,3,2,1378,5612.0,1479,29,0.197
2,34516.0,2,3,1652,32864.0,1283,39,0.048
1,1438.3,4,1,0,1438.3,689,23,0.0
6,24396.0,3,2,1171,23225.0,965,17,0.048
2,2474.0,3,2,2143,331.0,1541,40,0.866
5,5214.0,1,3,795,4419.0,1258,23,0.152
5,5207.0,2,2,1650,3557.0,1339,20,0.317
2,9512.0,2,2,1082,8430.0,1007,22,0.114
6,3187.0,3,2,2430,757.0,1387,33,0.762
1,3353.0,3,3,0,3353.0,960,18,0.0
3,2290.0,3,3,1434,856.0,1119,18,0.626
6,5279.0,1,3,1115,4164.0,1642,41,0.211
5,23603.0,3,0,0,23603.0,1382,31,0.0
6,2601.0,2,2,0,2601.0,1232,32,0.0
4,6363.0,3,0,1029,5334.0,1542,16,0.162
4,8029.0,3,3,1576,6453.0,1094,32,0.196
2,2410.0,2,2,1769,641.0,1217,30,0.734
1,3401.0,1,2,0,3401.0,744,18,0.0
4,2260.0,2,0,1007,1253.0,1614,33,0.446
5,17682.0,2,2,2481,15201.0,1747,31,0.14
3,4206.0,1,3,1100,3106.0,1144,22,0.262
4,34516.0,3,2,1440,33076.0,1575,34,0.042
4,23018.0,3,0,2168,20850.0,1463,24,0.094
5,5556.0,2,3,1711,3845.0,1706,21,0.308
3,6094.0,3,1,0,6094.0,909,14,0.0
3,2939.0,1,2,1999,940.0,2434,33,0.68
2,5362.0,1,0,1274,4088.0,1876,41,0.238
3,27126.0,3,3,0,27126.0,1000,25,0.0
6,3342.0,3,2,2517,825.0,1139,30,0.753
6,2532.0,2,2,2221,311.0,799,21,0.877
2,1900.0,2,3,1376,524.0,1881,45,0.724
2,14546.0,3,2,1703,12843.0,1273,27,0.117
2,2521.0,3,2,1608,913.0,1328,33,0.638
3,16427.0,4,3,1682,14745.0,1579,36,0.102
5,13068.0,1,2,1718,11350.0,937,28,0.131
6,23218.0,3,0,1814,21404.0,1749,37,0.078
5,3281.0,1,3,837,2444.0,1424,29,0.255
5,3096.0,3,2,2217,879.0,2011,41,0.716
5,2052.0,2,3,1250,802.0,1208,31,0.609
2,1438.3,3,0,583,855.3,1259,24,0.405
2,9432.0,3,2,1418,8014.0,1319,26,0.15
5,14938.0,2,3,2303,12635.0,949,27,0.154
5,2221.0,3,2,1343,878.0,1338,30,0.605
6,5731.0,3,0,1577,4154.0,1554,26,0.275
2,34516.0,2,3,2061,32455.0,1350,32,0.06
5,6985.0,2,2,1130,5855.0,1694,44,0.162
3,24221.0,3,0,1707,22514.0,1678,40,0.07
4,15439.0,1,1,0,15439.0,2069,43,0.0
6,21637.0,3,2,2030,19607.0,1222,23,0.094
2,14543.0,3,2,0,14543.0,1536,37,0.0
2,9684.0,1,1,2475,7209.0,1400,31,0.256
2,5007.0,2,2,930,4077.0,1050,28,0.186
3,1616.0,2,0,1047,569.0,1389,33,0.648
5,19116.0,2,2,0,19116.0,1184,29,0.0
5,2759.0,6,2,2223,536.0,2093,42,0.806
2,8249.0,3,3,1381,6868.0,678,11,0.167
2,14041.0,3,2,2154,11887.0,1467,29,0.153
5,5264.0,3,2,2169,3095.0,1219,27,0.412
4,2420.0,2,1,1912,508.0,1730,36,0.79
4,2826.0,2,0,2070,756.0,1025,28,0.732
5,12518.0,5,2,1539,10979.0,1165,33,0.123
4,5876.0,2,1,1297,4579.0,2133,55,0.221
3,34516.0,2,3,0,34516.0,1122,13,0.0
4,9648.0,1,2,1926,7722.0,1083,22,0.2
3,34516.0,3,3,2177,32339.0,1234,23,0.063
3,3025.0,3,0,2376,649.0,1277,23,0.785
4,3265.0,3,3,2517,748.0,1843,35,0.771
3,6041.0,2,2,1355,4686.0,1747,49,0.224
3,2293.0,3,2,1823,470.0,1166,22,0.795
6,13399.0,2,2,2505,10894.0,1326,31,0.187
4,4317.0,3,3,2517,1800.0,1619,36,0.583
5,3378.0,2,0,1069,2309.0,1285,16,0.316
4,5012.0,1,3,2242,2770.0,1142,28,0.447
4,2569.0,1,0,1605,964.0,1190,46,0.625
3,3471.0,1,2,1785,1686.0,1052,24,0.514
5,34516.0,3,3,1699,32817.0,1628,38,0.049
6,3312.0,3,2,1844,1468.0,1740,32,0.557
4,2578.0,3,3,2462,116.0,1378,29,0.955
4,2902.0,3,2,2517,385.0,996,26,0.867
3,2742.0,2,1,2321,421.0,1389,32,0.846
5,2077.0,3,3,1571,506.0,1365,38,0.756
5,6265.0,1,2,1942,4323.0,1715,43,0.31
6,7819.0,3,0,1560,6259.0,1582,25,0.2
6,2731.0,3,3,1692,1039.0,1220,22,0.62
2,1438.3,4,3,537,901.3,715,13,0.373
3,16286.0,1,2,1710,14576.0,2552,49,0.105
3,34516.0,2,3,0,34516.0,1106,31,0.0
6,2609.0,1,0,2439,170.0,1731,34,0.935
5,7567.0,3,2,1173,6394.0,1435,32,0.155
5,22770.0,3,3,2517,20253.0,1882,38,0.111
5,3791.0,1,2,1648,2143.0,2058,34,0.435
4,2702.0,4,2,2517,185.0,1658,32,0.932
3,2555.0,1,3,2117,438.0,1334,32,0.829
5,2355.0,3,2,1090,1265.0,1441,29,0.463
6,5332.0,2,0,0,5332.0,1371,39,0.0
6,1443.0,3,2,1375,68.0,1991,38,0.953
6,10741.0,2,3,755,9986.0,1278,22,0.07
3,7984.0,2,0,1503,6481.0,1734,39,0.188
3,18584.0,2,2,2517,16067.0,1330,34,0.135
4,5585.0,1,3,1465,4120.0,1787,31,0.262
6,34516.0,3,2,2165,32351.0,1672,32,0.063
6,1438.3,3,4,0,1438.3,1439,41,0.0
5,2478.0,1,0,2031,447.0,1558,31,0.82
6,34516.0,3,3,2274,32242.0,1795,47,0.066
6,2339.0,2,3,1440,899.0,893,22,0.616
6,2726.0,3,2,0,2726.0,1099,27,0.0
3,14881.0,3,3,848,14033.0,1408,23,0.057
6,1628.0,3,3,969,659.0,1893,15,0.595
5,3156.0,2,2,1644,1512.0,1151,31,0.521
5,4745.0,3,0,1270,3475.0,1519,31,0.268
5,19727.0,3,2,1785,17942.0,1245,25,0.09
3,22720.0,3,2,793,21927.0,1102,27,0.035
5,8129.0,3,0,1799,6330.0,1402,33,0.221
6,3751.0,2,3,1521,2230.0,1060,30,0.405
3,1594.0,5,3,1411,183.0,1459,35,0.885
4,2569.0,2,0,1403,1166.0,1456,39,0.546
6,18206.0,3,2,1586,16620.0,1439,48,0.087
6,3104.0,3,3,1766,1338.0,1353,24,0.569
5,2406.0,3,2,1560,846.0,1173,32,0.648
5,24571.0,2,3,1955,22616.0,1746,28,0.08
3,15534.0,2,3,726,14808.0,1279,28,0.047
4,12301.0,2,0,2250,10051.0,1307,29,0.183
6,2846.0,2,3,1818,1028.0,1473,37,0.639
6,9788.0,2,3,1794,7994.0,1805,37,0.183
4,7231.0,3,3,2381,4850.0,1421,23,0.329
6,2324.0,3,2,1576,748.0,1272,37,0.678
3,12208.0,2,3,1980,10228.0,1409,34,0.162
2,5639.0,5,3,1547,4092.0,647,15,0.274
3,10021.0,3,2,1617,8404.0,1275,25,0.161
6,2215.0,1,0,1915,300.0,1270,27,0.865
3,2027.0,2,3,1480,547.0,1702,37,0.73
6,6363.0,2,2,1162,5201.0,1256,26,0.183
6,3920.0,1,2,2008,1912.0,3178,53,0.512
5,9226.0,1,3,1233,7993.0,1626,29,0.134
6,9376.0,1,1,1288,8088.0,1562,33,0.137
5,1944.0,3,3,1346,598.0,1960,57,0.692
3,9599.0,1,0,1554,8045.0,1154,38,0.162
5,28202.0,1,2,843,27359.0,1629,38,0.03
3,24850.0,3,1,1662,23188.0,1226,25,0.067
5,3805.0,3,3,2233,1572.0,1743,27,0.587
5,2733.0,2,2,1306,1427.0,1139,39,0.478
6,12781.0,3,3,1253,11528.0,1073,21,0.098
3,3106.0,3,3,1120,1986.0,683,17,0.361
3,7477.0,3,0,0,7477.0,1159,32,0.0
6,34516.0,1,3,2086,32430.0,1859,47,0.06
6,29963.0,5,2,2094,27869.0,1205,28,0.07
5,6509.0,3,0,2033,4476.0,1409,37,0.312
3,13450.0,3,3,0,13450.0,1000,18,0.0
6,27000.0,2,0,0,27000.0,1209,39,0.0
5,34516.0,2,1,1254,33262.0,1366,25,0.036
5,6347.0,3,2,0,6347.0,1161,44,0.0
4,3106.0,3,2,1675,1431.0,1512,38,0.539
4,2536.0,1,1,913,1623.0,1750,35,0.36
6,13048.0,3,0,1954,11094.0,1170,24,0.15
3,2453.0,3,1,968,1485.0,2218,50,0.395
3,16138.0,2,2,1249,14889.0,1198,33,0.077
3,8077.0,2,0,1965,6112.0,1329,26,0.243
3,1929.0,3,3,1673,256.0,857,36,0.867
3,3127.0,3,2,2517,610.0,1470,30,0.805
3,8645.0,3,2,1454,7191.0,1435,25,0.168
3,1438.3,1,3,0,1438.3,1093,22,0.0
6,2185.0,3,2,0,2185.0,715,20,0.0
5,24487.0,2,2,2517,21970.0,1512,42,0.103
6,2567.0,2,3,0,2567.0,2399,43,0.0
6,4131.0,3,3,785,3346.0,906,22,0.19
3,10790.0,2,2,1930,8860.0,1052,16,0.179
4,6884.0,3,3,1001,5883.0,975,11,0.145
5,13961.0,3,3,1299,12662.0,783,20,0.093
6,29801.0,1,0,1916,27885.0,990,21,0.064
4,13219.0,1,1,0,13219.0,1097,24,0.0
2,2536.0,3,3,0,2536.0,901,35,0.0
5,9478.0,3,1,820,8658.0,1327,41,0.087
6,3502.0,1,2,1851,1651.0,1814,31,0.529
4,10509.0,3,3,2388,8121.0,1365,34,0.227
3,1491.0,3,0,0,1491.0,1058,34,0.0
6,9734.0,1,2,0,9734.0,1476,38,0.0
6,2305.0,1,3,1627,678.0,1230,36,0.706
3,14241.0,1,3,2081,12160.0,1581,44,0.146
3,4789.0,1,2,1257,3532.0,1534,29,0.262
4,23138.0,2,3,1727,21411.0,1612,39,0.075
6,23008.0,1,3,2280,20728.0,1302,36,0.099
3,3131.0,1,0,2517,614.0,1439,40,0.804
5,5798.0,3,2,1794,4004.0,1724,45,0.309
5,6880.0,2,3,1390,5490.0,1784,35,0.202
3,34516.0,2,2,1531,32985.0,1156,29,0.044
6,2075.0,2,1,1469,606.0,2556,49,0.708
3,4589.0,3,0,0,4589.0,1590,37,0.0
1,2317.0,2,2,0,2317.0,884,19,0.0
1,1981.0,1,1,1518,463.0,973,25,0.766
3,6038.0,2,1,0,6038.0,1447,30,0.0
5,14910.0,3,2,877,14033.0,1150,26,0.059
3,29659.0,3,2,1143,28516.0,1193,21,0.039
3,4320.0,3,2,0,4320.0,706,21,0.0
6,11213.0,1,3,0,11213.0,1257,23,0.0
5,26181.0,1,2,0,26181.0,1303,35,0.0
3,5773.0,1,0,0,5773.0,1306,39,0.0
1,4503.0,3,3,0,4503.0,748,20,0.0
6,29770.0,2,2,1565,28205.0,1774,42,0.053
5,5014.0,1,1,1910,3104.0,1209,25,0.381
6,3445.0,1,2,1074,2371.0,1074,31,0.312
6,23412.0,2,2,1078,22334.0,1786,50,0.046
4,3044.0,1,2,1611,1433.0,1456,36,0.529
5,14596.0,2,1,2192,12404.0,1300,25,0.15
3,3864.0,2,2,1654,2210.0,1470,42,0.428
2,17030.0,1,3,1911,15119.0,715,25,0.112
4,23090.0,2,3,839,22251.0,1198,24,0.036
4,29205.0,2,0,1208,27997.0,1556,43,0.041
5,14035.0,2,3,2061,11974.0,1606,30,0.147
2,2962.0,3,2,2517,445.0,929,31,0.85
6,18578.0,3,0,1385,17193.0,1606,54,0.075
5,2201.0,3,2,1138,1063.0,1199,32,0.517
4,2061.0,3,2,1483,578.0,2400,60,0.72
4,24602.0,2,2,1660,22942.0,1337,44,0.067
3,15911.0,2,2,896,15015.0,1270,33,0.056
2,16867.0,2,3,0,16867.0,654,14,0.0
3,2783.0,3,0,1526,1257.0,1909,54,0.548
3,2972.0,3,2,0,2972.0,922,25,0.0
5,5124.0,3,2,2235,2889.0,1158,42,0.436
6,2880.0,6,2,2362,518.0,1323,26,0.82
4,5579.0,1,0,0,5579.0,1025,35,0.0
5,12010.0,1,3,2149,9861.0,1700,35,0.179
6,34516.0,3,3,1597,32919.0,1628,51,0.046
5,4394.0,2,2,885,3509.0,1377,32,0.201
4,18325.0,3,3,723,17602.0,1517,33,0.039
5,3773.0,3,2,1972,1801.0,1528,25,0.523
5,21684.0,1,3,1748,19936.0,1329,24,0.081
4,1919.0,1,2,774,1145.0,1505,33,0.403
5,9995.0,3,2,1713,8282.0,1172,38,0.171
3,11910.0,2,2,2098,9812.0,1646,39,0.176
4,2279.0,2,0,1529,750.0,1693,32,0.671
3,3539.0,1,2,0,3539.0,1336,23,0.0
5,30579.0,1,3,1351,29228.0,1289,19,0.044
4,24480.0,1,0,1923,22557.0,1416,32,0.079
6,17561.0,1,2,0,17561.0,1608,33,0.0
3,1638.0,1,2,0,1638.0,1885,51,0.0
3,2947.0,3,2,2216,731.0,1744,53,0.752
6,5738.0,1,0,1112,4626.0,1922,48,0.194
5,33304.0,2,2,1833,31471.0,1448,29,0.055
6,7251.0,3,3,1603,5648.0,1300,36,0.221
6,2885.0,2,0,1895,990.0,1366,31,0.657
6,2641.0,2,3,1257,1384.0,1439,39,0.476
6,2801.0,3,0,2043,758.0,1241,46,0.729
3,16794.0,3,3,809,15985.0,1917,33,0.048
